Datum;Liga;Typ;Runde;Heim;Gast;Heim_Link;Gast_Link;Spielort_Name;Adresse;Latitude;Longitude;Quelle;link;error
2025-11-22 17:30:00;DSG Oberliga A;Mann;11. Runde;DSG Philadelphia AC;DSG Mödling;https://vereine.oefb.at/DsgPhiladelphiaAc/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DsgPsvAzzlack/Mannschaften/Saison-2025-26/KM/Kader/;Polizei Sportanlage;Dampfschiffhaufen, 1220 Wien;48.221112;16.430898;https://www.oefb.at/bewerbe/Spiel/3871425/?DSG-Philadelphia-AC-vs-DSG-Moedling;https://www.oefb.at/bewerbe/Spiel/3871425/?DSG-Philadelphia-AC-vs-DSG-Moedling;
2025-11-22 14:00:00;DSG Oberliga A;Mann;11. Runde;DSG Vienna Internationals;DSG Paulaner Wieden;https://vereine.oefb.at/DsgViennaInternationals/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/1FussballclubPaulanerWieden/Mannschaften/Saison-2025-26/KM/Kader/;Staw-Platz / KSV-Platz;Rustenschacher Allee 3-5, 1020 Wien;48.209699;16.399002;https://www.oefb.at/bewerbe/Spiel/3871502/?DSG-Vienna-Internationals-vs-DSG-Paulaner-Wieden;https://www.oefb.at/bewerbe/Spiel/3871502/?DSG-Vienna-Internationals-vs-DSG-Paulaner-Wieden;
2025-11-22 14:00:00;DSG Oberliga A;Mann;11. Runde;DSG Rudell SKF;DSG Ebu Hanife Wien;https://vereine.oefb.at/DSGSKFrankonia/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/SvEbuHanifeWien/Mannschaften/Saison-2025-26/KM/Kader/;LAC;Baumg. 87, 1030 Wien;48.19099;16.408953;https://www.oefb.at/bewerbe/Spiel/3871516/?DSG-Rudell-SKF-vs-DSG-Ebu-Hanife-Wien;https://www.oefb.at/bewerbe/Spiel/3871516/?DSG-Rudell-SKF-vs-DSG-Ebu-Hanife-Wien;
2025-11-23 18:00:00;DSG Oberliga A;Mann;11. Runde;DSG Kollegium / Kalksburg;DSG WU Kickers;https://vereine.oefb.at/ScKollegiumKalksburg/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/Dsgwukickers/Mannschaften/Saison-2025-26/KM/Kader/;Sportunion Schönbrunn;Hervicusg. 13-15, 1120 Wien;48.166628;16.304792;https://www.oefb.at/bewerbe/Spiel/3871408/?DSG-Kollegium-Kalksburg-vs-DSG-WU-Kickers;https://www.oefb.at/bewerbe/Spiel/3871408/?DSG-Kollegium-Kalksburg-vs-DSG-WU-Kickers;
2026-03-07 14:05:00;DSG Oberliga A;Mann;12. Runde;DSG Vienna Internationals;DSG Mödling;https://vereine.oefb.at/DsgViennaInternationals/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DsgPsvAzzlack/Mannschaften/Saison-2025-26/KM/Kader/;Staw-Platz / KSV-Platz;Rustenschacher Allee 3-5, 1020 Wien;48.209699;16.399002;https://www.oefb.at/bewerbe/Spiel/3871442/?DSG-Vienna-Internationals-vs-DSG-Moedling;https://www.oefb.at/bewerbe/Spiel/3871442/?DSG-Vienna-Internationals-vs-DSG-Moedling;
2025-11-23 12:00:00;DSG Oberliga A;Mann;11. Runde;DSG Großglockner Falken;DSG Sonntag 2012;https://vereine.oefb.at/Dsggrossglocknerfalken/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/FCSonntag/Mannschaften/Saison-2025-26/KM/Kader/;LAC;Baumg. 87, 1030 Wien;48.19099;16.408953;https://www.oefb.at/bewerbe/Spiel/3871499/?DSG-Grossglockner-Falken-vs-DSG-Sonntag-2012;https://www.oefb.at/bewerbe/Spiel/3871499/?DSG-Grossglockner-Falken-vs-DSG-Sonntag-2012;
2026-03-07 20:00:00;DSG Oberliga A;Mann;12. Runde;DSG Sonntag 2012;DSG Union 13;https://vereine.oefb.at/FCSonntag/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DsgUnion13/Mannschaften/Saison-2025-26/KM/Kader/;Slovan HAC;Steinbruchstr. 5a, 1140 Wien;48.204405;16.305012;https://www.oefb.at/bewerbe/Spiel/3871393/?DSG-Sonntag-2012-vs-DSG-Union-13;https://www.oefb.at/bewerbe/Spiel/3871393/?DSG-Sonntag-2012-vs-DSG-Union-13;
2026-03-07 16:00:00;DSG Oberliga A;Mann;12. Runde;DSG Rudell SKF;DSG Paulaner Wieden;https://vereine.oefb.at/DSGSKFrankonia/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/1FussballclubPaulanerWieden/Mannschaften/Saison-2025-26/KM/Kader/;LAC;Baumg. 87, 1030 Wien;48.19099;16.408953;https://www.oefb.at/bewerbe/Spiel/3871446/?DSG-Rudell-SKF-vs-DSG-Paulaner-Wieden;https://www.oefb.at/bewerbe/Spiel/3871446/?DSG-Rudell-SKF-vs-DSG-Paulaner-Wieden;
2026-03-08 15:40:00;DSG Oberliga A;Mann;12. Runde;DSG Großglockner Falken;DSG Ebu Hanife Wien;https://vereine.oefb.at/Dsggrossglocknerfalken/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/SvEbuHanifeWien/Mannschaften/Saison-2025-26/KM/Kader/;LAC;Baumg. 87, 1030 Wien;48.19099;16.408953;https://www.oefb.at/bewerbe/Spiel/3871507/?DSG-Grossglockner-Falken-vs-DSG-Ebu-Hanife-Wien;https://www.oefb.at/bewerbe/Spiel/3871507/?DSG-Grossglockner-Falken-vs-DSG-Ebu-Hanife-Wien;
2025-11-23 12:30:00;DSG Oberliga A;Mann;11. Runde;DSG Union 13;DSG Royal Rainer;https://vereine.oefb.at/DsgUnion13/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/royalrainerfc/Mannschaften/Saison-2025-26/KM/Kader/;Sportunion Schönbrunn;Hervicusg. 13-15, 1120 Wien;48.166628;16.304792;https://www.oefb.at/bewerbe/Spiel/3871457/?DSG-Union-13-vs-DSG-Royal-Rainer;https://www.oefb.at/bewerbe/Spiel/3871457/?DSG-Union-13-vs-DSG-Royal-Rainer;
