Datum;Liga;Typ;Runde;Heim;Gast;Heim_Link;Gast_Link;Spielort_Name;Adresse;Latitude;Longitude;Quelle;link
2025-10-13 20:15:00;DSG LIGA;Mann;6. Runde;Dsg Cover - Direct SC;DSG Sektion Westside;https://vereine.oefb.at/ScCoverDirectCom/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/SektionWESTSIDE/Mannschaften/Saison-2025-26/KM/Kader/;WAF Gruabn;Meldemannstr. 13, 1200 Wien, Kunstrasenplatz der neusten Generation - nur Kunstrasenschuhe erlaubt;48.239916;16.377702;https://www.oefb.at/bewerbe/Spiel/3871267/?Dsg-Cover-Direct-SC-vs-DSG-Sektion-Westside;https://www.oefb.at/bewerbe/Spiel/3871267/?Dsg-Cover-Direct-SC-vs-DSG-Sektion-Westside
2026-05-08 20:15:00;DSG Frauen/Mädchen;Frau;15. Runde;DSG Union Latina;DSG WU Kickers;https://vereine.oefb.at/DsgUnionLatina/Mannschaften/Saison-2025-26/KM-FR/Kader/;https://vereine.oefb.at/Dsgwukickers/Mannschaften/Saison-2025-26/KM-FR/Kader/;Marswiese;Neuwaldegger Str. 57a, 1170 Wien;48.240031;16.277565;https://www.oefb.at/bewerbe/Spiel/3873319/?DSG-Union-Latina-vs-DSG-WU-Kickers;https://www.oefb.at/bewerbe/Spiel/3873319/?DSG-Union-Latina-vs-DSG-WU-Kickers
2025-10-12 10:30:00;WFV-LIGA U14 B;Mann;7. Runde;First Vienna FC 1894 B;Post SV B;https://vereine.oefb.at/FirstViennaFC1894/Mannschaften/Saison-2025-26/U14-B/Kader/;https://vereine.oefb.at/PostSvWien/Mannschaften/Saison-2025-26/U14-B/Kader/;First Vienna Football Campus;Spielmanng. 8, 1200 Wien;48.242739;16.370454;https://www.oefb.at/bewerbe/Spiel/3888268/?First-Vienna-FC-1894-B-vs-Post-SV-B;https://www.oefb.at/bewerbe/Spiel/3888268/?First-Vienna-FC-1894-B-vs-Post-SV-B
2026-03-01 12:00:00;WFV-LIGA U11 A;Mann;14. Runde;First Vienna FC 1894 A;1.Simmeringer SC A;https://vereine.oefb.at/FirstViennaFC1894/Mannschaften/Saison-2025-26/U11-A/Kader/;https://vereine.oefb.at/1SimmeringerSportclub/Mannschaften/Saison-2025-26/U11-A/Kader/;First Vienna Football Campus;Spielmanng. 8, 1200 Wien;48.242739;16.370454;https://www.oefb.at/bewerbe/Spiel/3908047/?First-Vienna-FC-1894-A-vs-1-Simmeringer-SC-A;https://www.oefb.at/bewerbe/Spiel/3908047/?First-Vienna-FC-1894-A-vs-1-Simmeringer-SC-A
2026-03-14 16:30:00;A-LIGA U17;Mann;12. Runde;Essling;Marswiese;https://vereine.oefb.at/SvEssling/Mannschaften/Saison-2025-26/U17/Kader/;https://vereine.oefb.at/SzMarswiese/Mannschaften/Saison-2025-26/U17/Kader/;Essling;Kirschenallee 2-4, 1220 Wien;48.214036;16.519334;https://www.oefb.at/bewerbe/Spiel/3883207/?Essling-vs-Marswiese;https://www.oefb.at/bewerbe/Spiel/3883207/?Essling-vs-Marswiese
2025-10-11 15:15:00;WFV-LIGA U14 B;Mann;7. Runde;Red Star Penzing B;Wiener Sport - Club B;https://vereine.oefb.at/ScRedStarPenzing/Mannschaften/Saison-2025-26/U14-B/Kader/;https://vereine.oefb.at/WienerSportclub/Mannschaften/Saison-2025-26/U14-B/Kader/;Red Star Auto;Kendlerstrasse 38, 1160 Wien;48.20384;16.309532;https://www.oefb.at/bewerbe/Spiel/3888352/?Red-Star-Penzing-B-vs-Wiener-Sport-Club-B;https://www.oefb.at/bewerbe/Spiel/3888352/?Red-Star-Penzing-B-vs-Wiener-Sport-Club-B
2026-06-07 10:00:00;B-LIGA U13;Mann;22. Runde;DSG SUSA Vienna A;ASK Erlaa Torpedo 03 A;https://vereine.oefb.at/FcSusaVienna/Mannschaften/Saison-2025-26/U13-A/Kader/;https://vereine.oefb.at/ASKErlaaTorpedo03/Mannschaften/Saison-2025-26/U13-A/Kader/;Leopoldau;Eipeldauerstr. 6, 1210 Wien;48.262302;16.435964;https://www.oefb.at/bewerbe/Spiel/3892499/?DSG-SUSA-Vienna-A-vs-ASK-Erlaa-Torpedo-03-A;https://www.oefb.at/bewerbe/Spiel/3892499/?DSG-SUSA-Vienna-A-vs-ASK-Erlaa-Torpedo-03-A
2026-03-01 12:15:00;WFV-LIGA U11 A;Mann;14. Runde;Post SV A;Wiener Sport - Club A;https://vereine.oefb.at/PostSvWien/Mannschaften/Saison-2025-26/U11-A/Kader/;https://vereine.oefb.at/WienerSportclub/Mannschaften/Saison-2025-26/U11-A/Kader/;Post Sportanlage;Roggendorfg. 2, 1170 Wien;48.223531;16.32412;https://www.oefb.at/bewerbe/Spiel/3908024/?Post-SV-A-vs-Wiener-Sport-Club-A;https://www.oefb.at/bewerbe/Spiel/3908024/?Post-SV-A-vs-Wiener-Sport-Club-A
2026-03-29 10:20:00;WFV-LIGA U10 B;Mann;18. Runde;LAC - Inter B;Red Star Penzing B;https://vereine.oefb.at/LandstrasserAthletikClub/Mannschaften/Saison-2025-26/U10-B/Kader/;https://vereine.oefb.at/ScRedStarPenzing/Mannschaften/Saison-2025-26/U10-B/Kader/;LAC;Baumg. 87, 1030 Wien;48.19099;16.408953;https://www.oefb.at/bewerbe/Spiel/3908317/?LAC-Inter-B-vs-Red-Star-Penzing-B;https://www.oefb.at/bewerbe/Spiel/3908317/?LAC-Inter-B-vs-Red-Star-Penzing-B
2025-09-27 11:15:00;A-LIGA U9 B;Mann;5. Runde;Wienerberg 1921 B;Gerasdorf Stammersdorf B;https://vereine.oefb.at/sv-wienerberg1921/Mannschaften/Saison-2025-26/U09-B/Kader/;https://vereine.oefb.at/SvGerasdorfStammersdorf/Mannschaften/Saison-2025-26/U09-B/Kader/;Wienerberg Arena;"Computerstr. 3, 1100 Wien, Stadtauswärts: B17 Triesterstraße, rechts einbiegen in die Computerstraße;, Stadteinwärts: B17 Triesterstraße, links einbiegen in die Computerstraße;, Parkplätze: in der Computerstraße bzw. hinter der BP-Tankstelle auf der Triesterstraße";48.157919;16.3396;https://www.oefb.at/bewerbe/Spiel/3914133/?Wienerberg-1921-B-vs-Gerasdorf-Stammersdorf-B;https://www.oefb.at/bewerbe/Spiel/3914133/?Wienerberg-1921-B-vs-Gerasdorf-Stammersdorf-B
